ID,Tweet,Replies,Retweets,Likes,Bookmarks,Views,PostDate,Timestamp
uermgfyjdyf,"Kaset X บางบัวร่วมใจพัฒนา (สะพานไม้2) X สส.แบงค์

ร่วมทำ CSR Workshop ระหว่างนักศึกษาปี1 คณะสถาปัตย์ ม. #เกษตรศาสตร์ (IPDI) กับ ชุมชนบางบัวร่วมใจพัฒนา #สะพานไม้2 #เขตหลักสี่  

โดย เป้าหมายคือให้นิสิต สมาชิกชุมชน และเยาวชน แชร์ความรู้ และหาภาพจำให้ชุมชนจากผลิตภัณฑ์(ที่มีอยู่แล้ว)",14,474,1001,5,42154,2024-01-30 04:34:01,2024-11-26 01:09:33
5x7jl2jss3g,"พิธีพระราชทานปริญญาบัตร #มหาวิทยาลัยเกษตรศาสตร์ ประจำปีการศึกษา 2566 ในวันที่ 8-10 ตุลาคม 2567 

นายเกษม วัฒนชัย องคมนตรี จะเป็นผู้แทนพระองค์ ไปมอบปริญญาบัตรให้แก่บัณฑิต #เกษตรศาสตร์",1,0,0,0,361,2024-10-08 06:09:32,2024-11-26 01:09:33
vntcbzqwv88,"[วิทยากรบรรยายเรื่อง การระบายน้ำในกทม. ที่ ม.#เกษตรศาสตร์]

วันนี้ไปเป็นวิทยากรบรรยาย หัวข้อ “ปัญหาการเกิด #น้ำท่วม และข้อมูลการ #ระบายน้ำ ใน กทม.” ให้นิสิตปริญญาโท ที่ภาควิชาวิศวกรรมทรัพยากรน้ำ คณะวิศวกรรมศาสตร์ มหาวิทยาลัยเกษตรศาสตร์ ครับ 

หลักๆของการระบายน้ำ",16,528,1140,9,30325,2024-02-24 08:52:38,2024-11-26 01:09:33
8h9mxq9k5a4,The POWER OF KU พิธีพระราชทานปริญญาบัตร ประจำปีการ ศึกษา 2566 ขอแสดงความยินดีกับบัณฑิตจบใหม่ทุกคน ค่ะ บัณฑิตเก่งมากกกก #kasetsartuniversity #kasetsart #commencement #รับปริญญา #เกษตรศาสตร์ #ku #ปริญญามก**สามารถชมภาพเพิ่มเติมได้ที่ http://facebook.com/PublicRelations.KU/…… https://instagram.com/p/DA0awWfPEht/?igsh=OW02aGNpOGRuYnIz…,0,0,0,0,519,2024-10-08 09:52:32,2024-11-26 01:09:33
c5przkteeq,"จากใจ คณบดี ถึงบัณฑิตใหม่ 1/2

เข้ารับพระราชทานปริญญาบัตร วันที่ 7 ตุลาคม 2567 #ปริญญา #เกษตรศาสตร์ #ku #Kasetsart #congratulations #รับปริญญา",0,2,2,0,669,2024-10-07 00:21:32,2024-11-26 01:09:33
ysfquna1zl,"3 วันสุดท้ายก่อนปิดรับสมัคร!!
อย่าพลาดงานวิ่งดีๆ แบบนี้ แล้วพบกัน KU Run 4สมัครกันเต๊อะ อยากเจอ

ย้ำ!! สมัครได้ที่ : https://alumni.ku.ac.th/kurun4
หรือสแกน QR Code ในโปสเตอร์
.
#KURUN4 #เกษตรศาสตร์ #kasetsart #university #run #exercise #donation #โรงพยาบาลมหาวิทยาลัยเกษตรศาสตร์",0,0,0,0,338,2024-11-15 05:09:27,2024-11-26 01:09:33
340x61nyph7,"#รอบพอร์ต โค้งสุดท้าย #dek67 ที่อยากติดรอบนี้ รีบปรึกษารุ่นพี่ตัวจริงมีประสบการณ์ตรงติดรอบ Portfolio มาแล้ว จองคิวโค้ชได้ที่ https://bit.ly/3R3PRmX
.
สอบถามเพิ่มเติม Line 
@coachdd
@coachdd
 #COACHDD #TCAS #เตรียมสอบ #tcas67 #รอบportfolio #KMITL #KMUTT #มศว #เกษตรศาสตร์ #ศิลปากร",0,2,2,1,2544,2023-11-29 11:00:00,2024-11-26 01:09:33
qoe0w3yaefp,ฝากรีหน่อยค่ะ #ลอยกระทง #เกษตรศาสตร์,0,1,4,0,223,2024-11-14 15:05:15,2024-11-26 01:09:33
gwpm8gxmex,"ปิดรับสมัครอย่างเป็นทางการ KU Run 4
สำหรับใครที่สมัครเรียบร้อย เตรียมตัวให้พร้อม! 
วิ่งรวมพลังเกษตรศาสตร์ Power of KU 
มาเจอกัน 15 ธันวาคม นี้!
#KURUN4 #เกษตรศาสตร์ #kasetsart #university #run #exercise #donation #โรงพยาบาลมหาวิทยาลัยเกษตรศาสตร์",0,0,0,0,209,2024-11-18 02:02:16,2024-11-26 01:09:33
p6uupxc65zk," เช็กด่วนน! คุณสมบัติรอบพอร์ตโครงการช้างเผือก ม.เกษตร
เปิดรับเยอะมากก กว่า 1,500 ที่นั่ง 
เปิดรับสมัครตั้งแต่ 15 ต.ค.–15 พ.ย. 67
เช็กคุณสมบัติของแต่ละสาขาที่โพสต์นี้เลย

#TCASter #Mytcas #TCAS67 #TCAS68 #DEK68 #dek69 #KU #เกษตรศาสตร์ #มหาวิทยาลัย #มหาวิทยาลัยเกษตร #สอบติดมหาลัย",1,5,30,11,3227,2024-10-08 09:26:57,2024-11-26 01:09:33
