ID,Tweet,Cleaned_Tweet,Category,Relevance,Sentiment
1851445774359654773,#trueล่ม #เน็ตทรู #True #truevision #trueonline #truemoveH,,เน็ตทรู,irrelevant,neutral
1834548488585236847,'เปิดครบทั้ง 4 รอบ' แบบไม่มีกั๊ก ม.เกษตรศาสตร์ วิทยาเขตศรีราชา เริ่มรอบพอร์ต 1 ตุลาคมนี้แล้ว! . ไม่พลาดทุกข่าวสาร TCAS ต้องโหลด TCASter App มาใช้กันนะ #TCASter #Mytcas #TCAS68 #DEK68 #admission #portfolio #Quota #DirectAdmission #KU #kasetsart #เกษตรศาสตร์,'เปิดครบทั้ง 4 รอบ' แบบไม่มีกั๊ก ม.เกษตรศาสตร์ วิทยาเขตศรีราชา เริ่มรอบพอร์ต 1 ตุลาคมนี้แล้ว! . ไม่พลาดทุกข่าวสาร TCAS ต้องโหลด TCASter App มาใช้กันนะ,มหาวิทยาลัยเกษตรศาสตร์,relevant,positive
1706623376301896183,'แพทยสภา' รับรองแล้ว! หลักสูตร 'แพทยศาสตร์ ม.เกษตรฯ' พร้อมเปิดสอนปี 67 รองรับได้ 48 คน #แพทยศาสตร์ #เกษตรศาสตร์ #แพทยสภา https://thecoverage.info/news/content/5464…,'แพทยสภา' รับรองแล้ว! หลักสูตร 'แพทยศาสตร์ ม.เกษตรฯ' พร้อมเปิดสอนปี 67 รองรับได้ 48 คน    https://thecoverage.info/news/content/5464…,มหาวิทยาลัยเกษตรศาสตร์,relevant,positive
1856644312022618165,*อย่าลืมตรวจสอบคุณสมบัติกับประกาศจากทางมหาวิทยาลัยอีกครั้งก่อนสมัคร . ไม่พลาดทุกข่าวสาร TCAS ต้องโหลด TCASter App มาใช้กันนะ : iOS https://tcaster.info/3P6Lu8h : Android https://tcaster.info/3PdmxYK #TCASter #Mytcas #TCAS67 #TCAS68 #DEK68 #dek69 #KU #เกษตรศาสตร์ #มหาวิทยาลัย #สอบติดมหาลัย,*อย่าลืมตรวจสอบคุณสมบัติกับประกาศจากทางมหาวิทยาลัยอีกครั้งก่อนสมัคร . ไม่พลาดทุกข่าวสาร TCAS ต้องโหลด TCASter App มาใช้กันนะ : iOS https://tcaster.info/3P6Lu8h : Android https://tcaster.info/3PdmxYK,มหาวิทยาลัยเกษตรศาสตร์,irrelevant,neutral
1820651672152285291,10 คณะแข่งขันสูงจาก TCAS67 มาต่อกันที่มหาวิทยาลัยเกษตรศาสตร์กันบ้าง พี่ทีเชื่อว่าเป็นมหาลัยในฝันของน้อง ๆ #DEK68 หลายคนเลย . จะมีคณะที่การแข่งขันสูงปรี๊ดบ้าง มาดูกันเลย~ . #TCASter #Mytcas #TCAS67 #TCAS68 #DEK68 #admission #รอบ3 #แอดมิชชัน #เกษตร #เกษตรศาสตร์ #หมาวิทยาลัยเกษตร,10 คณะแข่งขันสูงจาก TCAS67 มาต่อกันที่มหาวิทยาลัยเกษตรศาสตร์กันบ้าง พี่ทีเชื่อว่าเป็นมหาลัยในฝันของน้อง ๆ  หลายคนเลย . จะมีคณะที่การแข่งขันสูงปรี๊ดบ้าง มาดูกันเลย~ .,มหาวิทยาลัยเกษตรศาสตร์,relevant,positive
1864501096515031548,1242 เจออิมะลิแก้ปัญหาให้ไม่ได้ไม่ยอมให้คุยกับพนักงาน iservice เจออิมะลิกว่าจะได้คุยกับพนักงานรอคิวเป็นชั่วโมง จะแจ้งปัญหาจะสอบถามอะไรไม่เคยได้เลย ต้องมาทวิตด่าให้คนอื่นเขารู้ถึงบริการแย่ๆก่อนถึงจะได้คุยกับคน สุดท้ายโยนความผิดให้ลูกค้ารับจบตลอด @TrueMoveH #เน็ตทรู,1242 เจออิมะลิแก้ปัญหาให้ไม่ได้ไม่ยอมให้คุยกับพนักงาน iservice เจออิมะลิกว่าจะได้คุยกับพนักงานรอคิวเป็นชั่วโมง จะแจ้งปัญหาจะสอบถามอะไรไม่เคยได้เลย ต้องมาทวิตด่าให้คนอื่นเขารู้ถึงบริการแย่ๆก่อนถึงจะได้คุยกับคน สุดท้ายโยนความผิดให้ลูกค้ารับจบตลอด @TrueMoveH,เน็ตทรู,relevant,negative
1725791275780321468,14.52 น. วันที่ 18 พ.ย. 66 ไฟไหม้ภายใน ม.เกษตรศาสตร์ จนท.รุดควบคุมเพลิง #เกษตร #เกษตรศาสตร์ #ไฟไหม้,14.52 น. วันที่ 18 พ.ย. 66 ไฟไหม้ภายใน ม.เกษตรศาสตร์ จนท.รุดควบคุมเพลิง,มหาวิทยาลัยเกษตรศาสตร์,relevant,negative
1857289788652437607,3 วันสุดท้ายก่อนปิดรับสมัคร!! อย่าพลาดงานวิ่งดีๆ แบบนี้ แล้วพบกัน KU Run 4สมัครกันเต๊อะ อยากเจอ ย้ำ!! สมัครได้ที่ : https://alumni.ku.ac.th/kurun4 หรือสแกน QR Code ในโปสเตอร์ . #KURUN4 #เกษตรศาสตร์ #kasetsart #university #run #exercise #donation #โรงพยาบาลมหาวิทยาลัยเกษตรศาสตร์,3 วันสุดท้ายก่อนปิดรับสมัคร!! อย่าพลาดงานวิ่งดีๆ แบบนี้ แล้วพบกัน KU Run 4สมัครกันเต๊อะ อยากเจอ ย้ำ!! สมัครได้ที่ : https://alumni.ku.ac.th/kurun4 หรือสแกน QR Code ในโปสเตอร์ .,มหาวิทยาลัยเกษตรศาสตร์,relevant,positive
1831261265097797881,#เน็ตทรู @TrueMoveH สอบถามค่ะ ถ้าจะร้องเรียนเจ้าหน้าที่ทรูที่มาหลอกขายโปรกุเกือบพันสามารถทำได้ช่องทางไหนบ้างคะนอกจาก call center อยากเดินไปถามมันมากว่าหลอกขายมากี่คนแล้ว บอกว่าซื้อโปรนี้แถมโปรอื่นฟรี แต่ความจริงมันเป็นโปรแยกมาแล้วต้องเสียเพิ่ม หรือทางทรูเทรนจนทให้หลอกลูกค้าคะ,@TrueMoveH สอบถามค่ะ ถ้าจะร้องเรียนเจ้าหน้าที่ทรูที่มาหลอกขายโปรกุเกือบพันสามารถทำได้ช่องทางไหนบ้างคะนอกจาก call center อยากเดินไปถามมันมากว่าหลอกขายมากี่คนแล้ว บอกว่าซื้อโปรนี้แถมโปรอื่นฟรี แต่ความจริงมันเป็นโปรแยกมาแล้วต้องเสียเพิ่ม หรือทางทรูเทรนจนทให้หลอกลูกค้าคะ,เน็ตทรู,relevant,negative
1664636860096815105,AIS แย่มาก ก็คือเมื่อสองสามวันก่อนเน็ตเราช้ามากเล่นไรไม่ได้เลย ก็เลยลองเช็กโปรเน็ต เอ้า! ทำไมเน็ตเราลดลง ย้อนกละบไปดูข้อความเราโดนสลับแพ็คเกจเมื่อเดือนที่แล้ว ติดต่อคลอเซ็นเตอร์ก็ไม่ได้ โทรทั้งวันแต่ไม่มีคนรับ @AIS_Thailand @AIS_Thailand #เน็ตเอไอเอส,AIS แย่มาก ก็คือเมื่อสองสามวันก่อนเน็ตเราช้ามากเล่นไรไม่ได้เลย ก็เลยลองเช็กโปรเน็ต เอ้า! ทำไมเน็ตเราลดลง ย้อนกละบไปดูข้อความเราโดนสลับแพ็คเกจเมื่อเดือนที่แล้ว ติดต่อคลอเซ็นเตอร์ก็ไม่ได้ โทรทั้งวันแต่ไม่มีคนรับ @AIS_Thailand @AIS_Thailand,เน็ตเอไอเอส,relevant,negative
